published,review_title,product_title,review_content,review_score,date,product_id
True,Great Father's Day Gift,Gift Box,"I bought this for my dad for Father's day as he is a fan of bar soap.  It came with Bay Rum, Pine Tar, Eucalyptus Greek Yogurt, and Spearmint Basil Scrub. I am LOVING the cigar box which hold the soaps.  Great detail and quality. I know my 50-something dad will love it too.  Thanks Sasquatch!!",5,2013-05-31 04:00:00+00:00,110663055
True,stud status,Pine Tar,Rob Renner told me to buy this soap. It's way above average!,5,2013-05-31 04:00:00+00:00,109191256
True,Great soap,Cool Fresh Aloe,This soap smells grrat just wish it was bigger. ,5,2013-06-01 04:00:00+00:00,109191428
True,"Smells Great, Feels Great",Pine Tar,"After looking through the various options, I decided to pull the trigger on the Pine Tar and Golden Moss Scrub. Needless to say, I am very satisfied with my choice. The scent is mantastic and it feels pretty good too. Definitely recommend it. ",5,2013-06-03 04:00:00+00:00,109191256
True,Great soap wonderful smell,Bay Rum,"I purchased the soap mainly for the scent and it smells exactly like i had hoped, the soap its self is very pleasant and makes my skin fell much better than a commercially bought soap",5,2013-06-03 04:00:00+00:00,109190870
True,Awesome!,Pine Tar,Fell in love with this soap the first time I used it!,5,2013-06-03 04:00:00+00:00,109191256
True,Love it,Pine Tar,"Have only tried the pine tar, but it's awesome and natural. Can't ask for much more than that. Scent is not too overpowering and wakes you up in the mornings. ",5,2013-06-04 04:00:00+00:00,109191256
True,Great Soap!,Pine Tar,Pine Tar is like rubbing a pine Forrest on your body!,5,2013-06-04 04:00:00+00:00,109191256
True,Great product ,Gift Box,"Quick shipping and great soap so far, still on my first bar, but can't wait to try the others  ",5,2013-06-04 04:00:00+00:00,110663055
True,This program is a DREAM!,SoapScription - Deluxe,"The ironic thing about your name is that finding a good natural bar of soap for men was like searching for bigfoot!  I'm just glad that I've found you guys!  I've been using Sasquatch for several months now, with my only complaint being that I would continue to have to reorder whenever I ran out, and wait for it to ship (I'm a bit of a procrastinator).  I would then be stuck using non-natural products (or going no showers) until my new sasquatch was being delivered.  Soapscriptions that problem away!  I splurged for the Deluxe, and my first shipment of 8 bars came in today and it was like Christmas morning!  I officially threw out my back-up non-natural bars knowing that the next shipment will come before I run out.  Now I just need to keep my visitors from stealing my Sasquatch stock!",5,2013-06-06 04:00:00+00:00,137928483
True,Great soap,Gift Box,And awesome packaging,5,2013-06-14 04:00:00+00:00,110663055
True,Great all-natural products!,Cool Fresh Aloe,"I received a bar of Sasquatch in a box from Bespoke Post and was instantly impressed with it. It left me feeling cleaner than my old body wash, smelled better and was all natural. I instantly ordered three more bars for home use. If buying I would recommend ordering a soap saver to help the bars last longer. Otherwise, great product!",5,2013-06-19 04:00:00+00:00,109191428
True,"I like it, my son likes it and my wife likes it. ",Cool Fresh Aloe,It smells nice lathers great and everyone in the house likes it. ,5,2013-06-21 04:00:00+00:00,109191428
True,Love this stuff,Gift Box,"The gift box was great, I love this soap and will be buying more the the future! Great stuff!",5,2013-06-23 04:00:00+00:00,110663055
True,Great soap,Deep Sea Goat's Milk,Sasquatch Deep Sea Goat's Milk soap smells great and lathers well.  It is easy to hold on to and doesn't dry out the skin.  Very nice.,5,2013-06-24 04:00:00+00:00,109191474
True,Manly,Gold Moss Scrub,"Besides a soap I actually feel better using.  Yesterday, a co-worker came up to me yesterday and said ""You smell more manly today.."".  While taken aback, it was a testament to the length that the scent lasts.  It was still working at the end of a work day.  ",5,2013-06-25 04:00:00+00:00,109191402
True,Awesome,Bay Rum,"I absolutely love this soap, the scent is great and my girl really likes it!",5,2013-06-25 04:00:00+00:00,109190870
True,Awesome,Gold Moss Scrub,"Love the soap. Smell and lather is great, especially for a guy. Doesn't dry the skin out either.",5,2013-06-26 04:00:00+00:00,109191402
True,Great soaps,Cool Fresh Aloe,"I like the scents offered, including this one.  They all lather nicely and none so far have been girly smelling.  I'll be ordering more from this company, for sure.",4,2013-06-27 04:00:00+00:00,109191428
True,Great Soap,Spearmint Basil Scrub,Lovely scent that invigorates you. The ladies like it too!,5,2013-06-27 04:00:00+00:00,109191130
